Sample,Sorting,Symbiont,Temp,Comp,Treatment,AP13C,AP15N,CN,,
C2_26,Y,C,26,N,C_only,4.402,0.551,7.995,,
C3_26,Y,C,26,N,C_only,3.986,0.559,7.136,,
C4_26,Y,C,26,N,C_only,4.137,0.562,7.356,,
C6_26,Y,C,26,N,C_only,4.766,0.536,8.896,,
C7_26,Y,C,26,N,C_only,4.781,0.494,9.683,,
C8_26,Y,C,26,N,C_only,4.654,0.493,9.435,,
C1_26,N,C,26,N,C_only,4.568,0.584,7.822,,
C5_26,N,C,26,N,C_only,4.755,0.588,8.091,,
D3_26,Y,D,26,N,D_only,4.520,0.554,8.164,,
D4_26,Y,D,26,N,D_only,3.968,0.624,6.361,,
D2_26,Y,D,26,N,D_only,4.661,0.559,8.332,,
D6_26,Y,D,26,N,D_only,4.124,0.700,5.895,,
D7_26,Y,D,26,N,D_only,5.194,0.703,7.388,,
D8_26,Y,D,26,N,D_only,,0.686,,,
D1_26,N,D,26,N,D_only,4.202,0.640,6.567,,
D5_26,N,D,26,N,D_only,4.327,0.681,6.350,,
CDMix5_26,Y,C,26,Y,C_Mix,4.338,0.506,8.567,,
CDMix2_26,Y,C,26,Y,C_Mix,4.205,0.651,6.463,,
CDMix3_26,Y,C,26,Y,C_Mix,4.184,0.653,6.404,,
CDMix4_26,Y,C,26,Y,C_Mix,4.165,0.534,7.793,,
CDMix6_26,Y,C,26,Y,C_Mix,3.888,0.645,6.025,,
CDMix12_26,Y,C,26,Y,C_Mix,4.561,0.553,8.254,,
CDMix7_26,Y,C,26,Y,C_Mix,4.093,0.493,8.302,,
CDMix8_26,Y,C,26,Y,C_Mix,4.103,0.642,6.394,,
CDMix10_26,Y,C,26,Y,C_Mix,4.488,0.569,7.890,,
CDMix11_26,Y,C,26,Y,C_Mix,4.588,0.550,8.343,,
CDMix13_26,Y,C,26,Y,C_Mix,4.431,0.503,8.809,,
CDMix14_26,Y,C,26,Y,C_Mix,4.463,0.569,7.848,,
CDMix15_26,Y,C,26,Y,C_Mix,4.318,0.606,7.120,,
CDMix16_26,Y,C,26,Y,C_Mix,4.330,0.565,7.658,,
CDMix2_26,Y,D,26,Y,D_Mix,4.570,0.530,8.616,,
CDMix7_26,Y,D,26,Y,D_Mix,4.418,0.466,9.482,,
CDMix3_26,Y,D,26,Y,D_Mix,4.638,0.590,7.857,,
CDMix4_26,Y,D,26,Y,D_Mix,4.906,0.540,9.083,,
CDMix5_26,Y,D,26,Y,D_Mix,4.999,0.463,10.794,,
CDMix6_26,Y,D,26,Y,D_Mix,4.132,0.584,7.077,,
CDMix8_26,Y,D,26,Y,D_Mix,4.289,0.592,7.249,,
CDMix14_26,Y,D,26,Y,D_Mix,4.981,0.623,8.001,,
CDMix10_26,Y,D,26,Y,D_Mix,5.426,0.575,9.442,,
CDMix11_26,Y,D,26,Y,D_Mix,5.475,0.624,8.770,,
CDMix12_26,Y,D,26,Y,D_Mix,5.425,0.628,8.637,,
CDMix13_26,Y,D,26,Y,D_Mix,5.513,0.629,8.763,,
CDMix15_26,Y,D,26,Y,D_Mix,5.035,0.634,7.943,,
C2_32,N,C,32,N,C_only,,0.616,,,
C3_32,N,C,32,N,C_only,,0.620,,,
C4_32,N,C,32,N,C_only,,0.575,,,
C6_32,N,C,32,N,C_only,,0.647,,,
C7_32,N,C,32,N,C_only,,0.631,,,
C8_32,N,C,32,N,C_only,,0.624,,,
C1_32,N,C,32,N,C_only,5.345,0.749,7.133,,
C5_32,N,C,32,N,C_only,5.786,0.692,8.362,,
D2_32,N,D,32,N,D_only,,0.727,,,
D3_32,N,D,32,N,D_only,,0.612,,,
D4_32,N,D,32,N,D_only,,0.667,,,
D6_32,N,D,32,N,D_only,,0.730,,,
D7_32,N,D,32,N,D_only,,0.741,,,
D8_32,N,D,32,N,D_only,,0.737,,,
D1_32,N,D,32,N,D_only,4.410,0.749,5.887,,
D5_32,N,D,32,N,D_only,4.293,0.785,5.467,,
CDMix2_32,Y,C,32,Y,C_Mix,4.841,0.736,6.574,,
CDMix3_32,Y,C,32,Y,C_Mix,4.817,0.830,5.801,,
CDMix4_32,Y,C,32,Y,C_Mix,4.815,0.736,6.538,,
CDMix5_32,Y,C,32,Y,C_Mix,4.913,0.838,5.866,,
CDMix6_32,Y,C,32,Y,C_Mix,4.817,0.946,5.090,,
CDMix7_32,Y,C,32,Y,C_Mix,4.939,0.978,5.051,,
CDMix8_32,Y,C,32,Y,C_Mix,4.658,0.996,4.676,,
CDMix10_32,Y,C,32,Y,C_Mix,4.902,1.242,3.946,,
CDMix11_32,Y,C,32,Y,C_Mix,4.631,,,,
CDMix13_32,Y,C,32,Y,C_Mix,4.938,,,,
CDMix14_32,Y,C,32,Y,C_Mix,4.244,,,,
CDMix15_32,Y,C,32,Y,C_Mix,4.767,,,,
CDMix2_32,Y,D,32,Y,D_Mix,4.767,0.635,7.505,,
CDMix3_32,Y,D,32,Y,D_Mix,4.625,0.620,7.461,,
CDMix4_32,Y,D,32,Y,D_Mix,4.785,0.645,7.416,,
CDMix5_32,Y,D,32,Y,D_Mix,4.902,0.605,8.102,,
CDMix6_32,Y,D,32,Y,D_Mix,4.747,0.741,6.403,,
CDMix7_32,Y,D,32,Y,D_Mix,4.713,0.751,6.275,,
CDMix8_32,Y,D,32,Y,D_Mix,4.647,0.531,8.754,,
CDMix10_32,Y,D,32,Y,D_Mix,5.126,0.762,6.730,,
CDMix11_32,Y,D,32,Y,D_Mix,4.879,0.875,5.577,,
CDMix13_32,Y,D,32,Y,D_Mix,5.502,0.888,6.194,,
CDMix14_32,Y,D,32,Y,D_Mix,5.280,0.943,5.599,,
CDMix15_32,Y,D,32,Y,D_Mix,4.696,0.958,4.901,,
CDMix1_26,N,CD,26,Y,Bulk_Mix,4.575,0.661,6.916,,
CDMix9_26,N,CD,26,Y,Bulk_Mix,4.718,0.616,7.664,,
CDMix1_32,N,CD,32,Y,Bulk_Mix,4.956,0.687,7.215,,
CDMix9_32,N,CD,32,Y,Bulk_Mix,4.866,0.788,6.178,,
